number,nickname,wish,point,continuity,total
2050,딧뚜행님,내일도 멋진하루 기대합니다,5,24,51
2049,라타타타울린심장,집중,5,29,55
2048,침하하Delta,2023년에 동차하게 해주세요,5,14,33
2047,손소독제,제발 뽑기 운 쥰내 좋게 되고 싶어요,5,1,25
2046,칵스한사발,잘풀리는 인생,5,1,53
2045,호로롤로로롤,내일 면접 잘 보고 오기,5,2,39
2044,SOL,출chek0110,5,2,45
2043,Wayne,꺾이지마,5,1,46
2042,연키민,로또 1등 당첨되게해주세요 제발,5,1,26
2041,chimsuni,연구결과 잘나오게 해주세요,5,1,18
2040,v33a,취업,5,1,1
2039,피트니스삼괴권,뼈다귀로 워윅 알리스타 줄세우기,5,2,32
2038,우마왕,지구촌 평화...,5,5,52
2037,플레지망생,영어 마스터,5,1,4
2036,착잡맨,시험 합격,5,2,12
2035,침뽕맨,올해도 화이팅,5,1,29
2034,ATJ,2023 모든 계획이 실현되게 해주세요,5,2,8
2033,아메리카노일잔할까,아들 키크게 해주세요,5,2,52
2032,하스펄,로또 1등 되게 해주세요,5,4,48
2031,장기하,좋은 인연과 함께 하고싶어요,5,1,46
2030,침이슬쌁,편입합격,5,4,9
2029,soultree012,경찰 합격!!,5,1,1
2028,창업유투버,취업하자,5,1,20
2027,배배로,부자되기,5,1,17
2026,cyt,로또 1등 당첨,5,1,1
2025,견적봐서미쳐라,오랜만이다이말이야,5,2,51
2024,나는골파,매일매일을 알차게 보낼 수 있게 해주세요,5,1,6
2023,시크릿쥬쥬매직박,가족들과 반려견의 건강,5,2,39
2022,세일러침,베이스,5,2,43
2021,김심야,올 해는 취업하여 성장하는 해가 되길,5,1,4
2020,첼시fc,불안한 삶을 끝내고 행복한 삶을 살게 해주세요,5,1,51
2019,쨰깐둥이,배치 잘보게 해주세요,5,1,44
2018,침핳하핳,로또1등 기도,5,1,8
2017,잔잔맨,돈,5,1,4
2016,이병쫄병건,올해는 침착맨처럼 열심히 살고 싶어요,5,1,50
2015,2대침착맨,쾌변하게해주세요,5,1,23
2014,주우원박,성과를 내는 내가 되게,5,1,46
2013,뉴침착맨,행복과 건강,5,29,59
2012,윤야무,꿀잠자게 해주세요,5,1,1
2011,마라샹꿔바로우,오늘은 일찍 잘 수 있기를🙏,5,1,27
2010,바다고양이,일확천금,5,11,54
2009,침착한빠삐용,합격 기원,5,1,52
2008,짭라오,그냥 다 지쳐서 그만두고싶어요,5,6,58
2007,냐옹옹옹,맘먹은걸 다 하길... 그냥 해내기만하세요,5,1,1
2006,Kosmos,취업..,5,3,55
2005,중인배,행복하자,5,1,42
2004,주커님이날보셨어,ㄱ,5,3,33
2003,침펄풍철단,^________^,5,62,64
2002,킹왕정복자,난 킹 왕 그리고 정복자다.,5,1,11
2001,김치뽁음밥,부지런해지기,5,2,13
2000,수부테이,모두 건강하길,5,1,1
1999,정강환이다내가,행운 가득한 삶을 주세요,5,1,41
1998,Gyeong,시험 합격하게 해주세요,5,1,1
1997,옾카페단골손님,소원의돌아나대기업에좀넣어주라,5,23,54
1996,털보야좋아해,건강하게 해주세요,5,24,48
1995,둥실라이드둥실둥실,근성장,5,1,21
1994,도토리수집가,행복하고싶다,5,1,46
1993,침둘둘,삐꾸푸 건강,5,1,13
1992,베개나라공주,선,5,1,55
1991,대전총잡이,부지런해지게 해주세요,5,2,2
1990,앨리스,집중,5,5,58
1989,고구마중사,좋은사람 되게 해주세요,5,1,6
